name_fr,name_en,search_aka,region,category,basis,kcal_per_100,measures,default_measure,local_portion,status,notes
Patate douce bouillie,Boiled sweet potato,patate douce sweet potato,national,staple,100g,90.0,gram:1|cup:200|tablespoon:15|1 morceau moyen:150.0,gram,1 morceau moyen,estimate — verify,
Manioc bouilli,Boiled cassava,manioc cassava bouilli cassava,national,staple,100g,160.0,gram:1|cup:200|tablespoon:15|1 morceau moyen:150.0,gram,1 morceau moyen,estimate — verify,
Bâton de manioc (bobolo),Cassava stick (bobolo),baton bobolo manioc cassava bobolo,Centre/Littoral,staple,100g,150.0,gram:1|cup:200|tablespoon:15|piece:150,gram,1 bâton moyen (150g),estimate — verify,150 kcal per 100g
Miondo,Miondo (cassava stick),miondo mintumba,Littoral,staple,100g,150.0,gram:1|cup:200|tablespoon:15,gram,1 paquet (200g),estimate — verify,150 kcal per 100g
Mintumba,Mintumba (cassava cake),mintumba cassava pudding,Littoral,steamed dish,100g,180.0,gram:1|cup:200|1 morceau:150.0,gram,1 morceau,estimate — verify,cassava with palm oil steamed
Tapioca,Tapioca,tapioca,national,staple,100g,150.0,gram:1|cup:200|tablespoon:15|1 bol prepare:250.0,gram,1 bol prepare,estimate — verify,soaked pearls with milk/sugar varies
Pommes frites,French fries,frites fries chips fries,urban,side,100g,310.0,gram:1|cup:200|1 portion:150.0,gram,1 portion,estimate — verify,
Spaghetti sauté,Fried spaghetti,spaghetti sauté fried,urban/street,dish,100g,150.0,gram:1|cup:200|1 plat moyen:300.0,gram,1 plat moyen,estimate — verify,with vegetables and oil
Omelette spaghetti,Spaghetti omelette,omelette spaghetti,street,dish,100g,171.4,gram:1|cup:200|piece:350,gram,1 plat tournedos,estimate — verify,street breakfast classic
Poisson braisé,Grilled fish,poisson braisé grilled fish bar grilled fish/bar/tilapia,national,protein,100g,150.0,gram:1|piece:100|1 poisson moyen:300.0,gram,1 poisson moyen,estimate — verify,with oil brushing average
Maquereau braisé,Grilled mackerel,maquereau mackerel braisé,national,protein,100g,205.0,gram:1|piece:100|1 poisson moyen:250.0,gram,1 poisson moyen,estimate — verify,oilier fish
Poulet braisé,Grilled chicken,poulet braisé grilled chicken,national,protein,100g,190.0,gram:1|piece:100|1 quart de poulet:250.0,gram,1 quart de poulet,estimate — verify,
Poulet DG,Poulet DG,poulet dg directeur general,urban,dish,100g,200.0,gram:1|cup:200|1 plat complet:400.0,gram,1 plat complet,estimate — verify,chicken plantain vegetables in oil
Kati kati,Kati kati (grilled chicken),kati kati,Northwest,protein,100g,190.0,gram:1|piece:100|1 portion:200.0,gram,1 portion,estimate — verify,grilled chicken in palm oil
Porc braisé,Grilled pork,porc braisé grilled pork grilled pork,urban,protein,100g,290.0,gram:1|piece:100|1 portion:200.0,gram,1 portion,estimate — verify,fatty cuts common
Soya (brochette de bœuf),Soya (beef skewer),soya brochette skewer suya brochette de boeuf,street/national,protein,100g,288.9,gram:1|piece:45,gram,1 baton,estimate — verify,per skewer
Brochette de porc,Pork skewer,brochette porc pork skewer,street,protein,100g,320.0,gram:1|piece:50,gram,1 baton,estimate — verify,
Kilishi,Kilishi (spiced dried beef),kilishi dried beef,Grand Nord,snack,100g,380.0,gram:1|cup:200|1 sachet moyen:50.0,gram,1 sachet moyen,estimate — verify,spiced dried beef
Viande en sauce,Meat in sauce,viande meat sauce boeuf boeuf en sauce,national,protein,100g,180.0,gram:1|piece:100|1 louche avec viande:150.0,gram,1 louche avec viande,estimate — verify,
Escargots,Snails,escargots snails nyama nyama ngub/snails,Centre/Sud,protein,100g,90.0,gram:1|piece:100|1 portion:150.0,gram,1 portion,estimate — verify,boiled
Escargots pimentés,Peppered snails,escargots pimentés peppered snails,Centre/Sud,protein,100g,145.0,gram:1|piece:100|1 portion:150.0,gram,1 portion,estimate — verify,with oil
Crevettes sautées (njanga),Sauteed shrimp (njanga),crevettes njanga shrimp prawns njanga fresh,Littoral,protein,100g,150.0,gram:1|piece:100,gram,1 portion,estimate — verify,
Njanga sec (crevettes séchées),Dried crayfish (njanga),njanga crayfish dried crevettes dried crayfish,national,condiment,100g,320.0,gram:1|cup:200|1 poignee:20.0,gram,1 poignee,estimate — verify,
Poisson fumé,Smoked fish,poisson fumé smoked fish smoked fish,national,protein,100g,290.0,gram:1|piece:100|1 morceau:80.0,gram,1 morceau,estimate — verify,
Makayabu (morue salée),Salted cod (makayabu),makayabu cod salted morue stockfish/salted fish,Littoral,protein,100g,180.0,gram:1|piece:100,gram,1 morceau,estimate — verify,
Œuf bouilli,Boiled egg,oeuf egg bouilli boiled boiled egg,national,protein,100g,156.0,gram:1|piece:50,gram,1 oeuf,estimate — verify,
Œuf en omelette,Omelette egg,oeuf omelette egg,national,protein,100g,183.3,gram:1|piece:60,gram,1 oeuf avec huile,estimate — verify,
Haricot rouge cuit,Cooked red beans,haricot beans rouge red beans,national,staple,100g,130.0,gram:1|cup:200|tablespoon:15,gram,1 louche,estimate — verify,plain
Haricot à l'huile,Beans in oil,haricot beans huile oil,street,staple,100g,165.0,gram:1|ml:0.92|teaspoon:4.5|tablespoon:14|cup:218|1 louche:200.0,gram,1 louche,estimate — verify,with palm/veg oil
Beignet soufflé (puff-puff),Puff-puff (fried dough),beignet puff puff soufflé puff-puff/boule,street,snack,100g,271.4,gram:1,gram,,estimate — verify,weigh in grams; piece sizes vary by seller
Beignet haricot (accra),Bean fritter (accra),beignet haricot accra akara accra haricot,street,snack,100g,242.9,gram:1,gram,,estimate — verify,weigh in grams; piece sizes vary by seller
BHB complet (beignet-haricot-bouillie),BHB combo (fritter-beans-pap),bhb beignet haricot bouillie beignet-haricot-bouillie,street,combo,100g,130.0,gram:1|cup:200|piece:500,gram,1 portion standard,estimate — verify,2 beignets + haricot + bouillie
Accra banane,Banana fritter,accra banane banana fritter beignet banane,street,snack,100g,275.0,gram:1,gram,,estimate — verify,weigh in grams; piece sizes vary by seller
Croquettes,Croquettes,croquettes,street,snack,100g,450.0,gram:1|cup:200|1 sachet:60.0,gram,1 sachet,estimate — verify,
Chin-chin,Chin-chin,chin chin,street,snack,100g,480.0,gram:1|cup:200|1 sachet:60.0,gram,1 sachet,estimate — verify,
Chips de plantain,Plantain chips,chips plantain crisps plantain chips,street,snack,100g,520.0,gram:1|cup:200|1 sachet moyen:50.0,gram,1 sachet moyen,estimate — verify,
Gâteau local,Local cake,gateau cake cake local,street,snack,100g,333.3,gram:1|cup:200|piece:45,gram,1 part,estimate — verify,
Pain (baguette),Bread (baguette),pain bread baguette baguette,national,staple,100g,265.0,gram:1|cup:200|tablespoon:15|piece:250|1 demi-baguette:125.0,gram,1 demi-baguette,estimate — verify,
Pain chargé,Loaded sandwich,pain chargé sandwich sandwich complet,street,combo,100g,220.0,gram:1|cup:200|piece:250,gram,1 sandwich,estimate — verify,bread + omelette/spaghetti/mayo
Pain beurré,Buttered bread,pain beurre butter bread,street,combo,100g,237.0,gram:1|cup:200|piece:135,gram,1 demi-baguette beurree,estimate — verify,
Bouillie de maïs (pap),Corn pap (porridge),bouillie mais pap corn porridge corn pap,national,porridge,100g,70.0,gram:1|cup:200|tablespoon:15|1 bol:300.0,gram,1 bol,estimate — verify,plain without extra sugar
Bouillie de riz,Rice pap (porridge),bouillie riz rice pap rice pap,national,porridge,100g,70.0,gram:1|cup:200|tablespoon:15|1 bol:300.0,gram,1 bol,estimate — verify,
Dakéré,Dakéré (millet couscous),dakere millet couscous,Grand Nord,dessert,100g,140.0,gram:1|cup:200|1 bol:250.0,gram,1 bol,estimate — verify,millet couscous with fermented milk sugar
Kossam (lait caillé),Kossam (fermented milk),kossam lait caillé fermented milk lait caillé,Grand Nord,drink,100ml,70.0,gram:1|cup:245|glass:250,gram,1 sachet/bol,estimate — verify,fermented milk often sweetened
Folère (bissap),Hibiscus drink (folère/bissap),folere bissap hibiscus zobo bissap/hibiscus,national,drink,100ml,40.0,gram:1|cup:240|glass:250|bottle_50cl:500,gram,1 bouteille 50cl,estimate — verify,sweetened
Jus de gingembre,Ginger juice,gingembre ginger juice gnamakoudji,national,drink,100ml,50.0,gram:1|cup:240|glass:250|bottle_50cl:500,gram,1 bouteille 50cl,estimate — verify,sweetened
Jus de baobab (bouye),Baobab juice (bouye),baobab bouye juice bouye,Grand Nord,drink,100ml,60.0,gram:1|cup:240|glass:250|bottle_50cl:500,gram,1 verre,estimate — verify,
Matango (vin de palme),Palm wine (matango),matango palm wine vin vin de palme/palm wine,Centre/Sud/Littoral,drink,100ml,45.0,gram:1|bottle_65cl:656|glass:250,gram,1 verre,estimate — verify,fresh tapped
Bilibili (bière de mil),Millet beer (bilibili),bilibili millet beer bière bière de mil,Grand Nord,drink,100ml,50.0,gram:1|bottle_65cl:656|glass:250|1 calebasse:400.0,gram,1 calebasse,estimate — verify,millet beer
Sha (bière de maïs),Corn beer (sha),sha corn beer corn beer,Northwest,drink,100ml,50.0,gram:1|bottle_65cl:656|glass:250|1 verre:300.0,gram,1 verre,estimate — verify,
Bière (33/Castel),Beer (33/Castel),biere beer 33 castel beer,national,drink,100ml,43.0,gram:1|bottle_65cl:656|glass:250|1 bouteille 65cl:650.0,gram,1 bouteille 65cl,estimate — verify,
Top / soda,Soft drink (soda),top soda soft drink soft drink,national,drink,100ml,42.0,gram:1|can_33cl:343|bottle_50cl:520|glass:250|1 bouteille 30cl:300.0,gram,1 bouteille 30cl,estimate — verify,
Coca Zero,Coca-Cola Zero,coca zero diet diet soda,urban,drink,100ml,0.3,gram:1|can_33cl:343|bottle_50cl:520|glass:250|piece:330.0,gram,1 canette 33cl,verified,
Café noir sans sucre,Black coffee (no sugar),café coffee noir black,national,drink,100ml,1.0,gram:1|cup:240|glass:250|bottle_50cl:500|piece:200.0,gram,1 tasse,verified,
Thé au citron,Lemon tea,thé tea citron lemon,national,drink,100ml,2.5,gram:1|cup:240|glass:250|bottle_50cl:500|piece:200.0,gram,1 tasse sans sucre,estimate — verify,
Sucre,Sugar,sucre sugar,national,condiment,100g,400.0,gram:1|teaspoon:4|tablespoon:12.5|cup:200,gram,1 morceau/cuillere,verified,
Lait en poudre,Powdered milk,lait poudre powdered milk powdered milk,national,condiment,100g,496.0,gram:1|teaspoon:3|tablespoon:9|cup:128,gram,1 cuillere a soupe,estimate — verify,
Matinal / Milo (cacao),Cocoa drink (Matinal/Milo),matinal milo cocoa cacao cocoa drink powder,national,drink powder,100g,420.0,gram:1|teaspoon:4.6|tablespoon:14|cup:100|2 cuilleres a cafe:10.0,gram,2 cuilleres a cafe,estimate — verify,
Huile de palme,Palm oil,huile palme palm oil palm oil,national,fat,100g,884.0,gram:1|ml:0.92|teaspoon:4.5|tablespoon:14|cup:218,gram,1 cuillere a soupe,verified,
Huile végétale,Vegetable oil,huile végétale vegetable oil,national,fat,100g,884.0,gram:1|ml:0.92|teaspoon:4.5|tablespoon:14|cup:218,gram,1 cuillere a soupe,verified,
Arachides grillées,Roasted groundnuts,arachides groundnuts peanuts grillées groundnuts roasted,national,snack,100g,570.0,gram:1|handful:30|tablespoon:9|cup:145,gram,1 poignee,estimate — verify,
Arachides bouillies,Boiled groundnuts,arachides bouillies boiled groundnuts,national,snack,100g,320.0,gram:1|handful:30|tablespoon:9|cup:145|1 poignee:40.0,gram,1 poignee,estimate — verify,
Pâte d'arachide,Peanut butter,pâte arachide peanut butter peanut paste,national,condiment,100g,590.0,gram:1|teaspoon:5.3|tablespoon:16|cup:258,gram,1 cuillere a soupe,estimate — verify,
Noix de kola,Kola nut,kola cola nut noix cola nut,national,stimulant,100g,166.7,gram:1|cup:200|piece:15,gram,1 noix,estimate — verify,
Safou (prune),Safou (African plum),safou prune plum prune/African plum,national,fruit,100g,170.0,gram:1|cup:200|piece:50,gram,1 safou roti,estimate — verify,rich in healthy fat
Avocat,Avocado,avocat avocado avocado,national,fruit,100g,160.0,gram:1|cup:200|1 demi-avocat:100.0,gram,1 demi-avocat,estimate — verify,
Papaye,Pawpaw / papaya,papaye pawpaw papaya pawpaw,national,fruit,100g,43.0,gram:1|cup:200|1 tranche:150.0,gram,1 tranche,estimate — verify,
Mangue,Mango,mangue mango mango,national,fruit,100g,60.0,gram:1|cup:200,gram,1 mangue moyenne,estimate — verify,
Goyave,Guava,goyave guava guava,national,fruit,100g,68.0,gram:1|cup:200|1 fruit:100.0,gram,1 fruit,estimate — verify,
Corossol,Soursop,corossol soursop soursop,national,fruit,100g,66.0,gram:1|cup:200|1 portion:150.0,gram,1 portion,estimate — verify,
Ananas,Pineapple,ananas pineapple pineapple,national,fruit,100g,50.0,gram:1|cup:200|1 tranche epaisse:150.0,gram,1 tranche epaisse,estimate — verify,
Banane douce,Sweet banana,banane banana sweet sweet banana,national,fruit,100g,87.5,gram:1|cup:200|piece:120,gram,1 banane moyenne,estimate — verify,
Orange,Orange,orange,national,fruit,100g,47.7,gram:1|cup:200|piece:130,gram,1 orange moyenne,estimate — verify,
Pamplemousse,Grapefruit,pamplemousse grapefruit grapefruit,national,fruit,100g,42.0,gram:1|cup:200|1 demi-fruit:120.0,gram,1 demi-fruit,estimate — verify,
Canne à sucre,Sugarcane,canne sucre sugarcane sugarcane,national,fruit,100g,60.0,gram:1|cup:200|1 troncon machouille:100.0,gram,1 troncon machouille,estimate — verify,
Noix de coco,Coconut,noix coco coconut coconut flesh,national,fruit,100g,354.0,gram:1|cup:200|1 morceau:50.0,gram,1 morceau,estimate — verify,
Pastèque,Watermelon,pastèque watermelon watermelon,national,fruit,100g,30.0,gram:1|cup:200|1 tranche:300.0,gram,1 tranche,estimate — verify,
Tomate,Tomato,tomate tomato,national,vegetable,100g,18.0,gram:1|cup:100|handful:30|1 tomate moyenne:120.0,gram,1 tomate moyenne,estimate — verify,
Gombo frais,Fresh okra,gombo okra frais fresh okra,national,vegetable,100g,33.0,gram:1|cup:100|handful:30,gram,1 poignee,estimate — verify,
Aubergine locale (zong),Garden egg (zong),aubergine garden egg zong eggplant garden egg/zong,national,vegetable,100g,25.0,gram:1|cup:100|handful:30,gram,3 petites,estimate — verify,
Légumes sautés,Sauteed vegetables,légumes vegetables sautés greens mixed greens,national,vegetable,100g,80.0,gram:1|cup:100|handful:30|1 portion:150.0,gram,1 portion,estimate — verify,with oil
Salade simple,Simple salad,salade salad simple,urban,vegetable,100g,30.0,gram:1|cup:100|handful:30|1 assiette:150.0,gram,1 assiette,estimate — verify,no dressing
Salade avec mayonnaise,Salad with mayonnaise,salade salad mayonnaise,urban,vegetable,100g,130.0,gram:1|teaspoon:5|tablespoon:15|1 assiette:150.0,gram,1 assiette,estimate — verify,mayo adds most calories
Piment frais,Fresh chilli pepper,piment chilli pepper hot hot pepper,national,condiment,100g,40.0,gram:1|cup:200|1 dose:10.0,gram,1 dose,verified,negligible in normal amounts
Sauce piment à l'huile,Pepper sauce (in oil),piment pepper sauce huile pepper sauce,national,condiment,100g,300.0,gram:1|ml:0.92|teaspoon:4.5|tablespoon:14|cup:218|1 cuillere a soupe:15.0,gram,1 cuillere a soupe,estimate — verify,oil-based
Maggi / cube bouillon,Bouillon cube (Maggi),maggi bouillon cube stock,national,condiment,100g,100.0,gram:1|cup:200|piece:10,gram,1 cube,estimate — verify,sodium warning not calories
Mayonnaise,Mayonnaise,mayonnaise mayo,urban,condiment,100g,680.0,gram:1|teaspoon:5|tablespoon:15,gram,1 cuillere a soupe,verified,
Ndolé + riz (plat complet),Ndole with rice (full plate),ndole riz rice complet plate plat complet,restaurant,combo,100g,166.7,gram:1|cup:200|piece:450.0,gram,1 plat standard,estimate — verify,sauce + rice + meat
Eru + water fufu (plat complet),Eru with water fufu (full plate),eru fufu complet plate plat complet,restaurant,combo,100g,144.4,gram:1|cup:200|piece:450.0,gram,1 plat standard,estimate — verify,
Achu + sauce jaune (plat complet),Achu with yellow soup (full plate),achu jaune complet plate plat complet,restaurant,combo,100g,140.0,gram:1|cup:200|piece:500.0,gram,1 plat standard,estimate — verify,
Poisson braisé + miondo (plat complet),Grilled fish with miondo (full plate),poisson miondo complet plate fish,restaurant,combo,100g,156.0,gram:1|cup:200|piece:500.0,gram,1 plat standard,estimate — verify,fish + 1 paquet miondo + piment
Riz + sauce arachide (plat complet),Rice with groundnut sauce (full plate),riz arachide complet plate rice,restaurant,combo,100g,160.0,gram:1|cup:200|piece:450.0,gram,1 plat standard,estimate — verify,
Taro sauce jaune,Taro with yellow sauce,taro jaune yellow bamileke,West/Bamileke,combo,100g,140.0,gram:1|cup:200|piece:500.0,gram,1 plat standard,estimate — verify,regional signature dish
